id,stock_id,year,month,plan_value
1,1,2017,1,20
47,1,2017,2,20
93,1,2017,3,20
139,1,2017,4,20
185,1,2017,5,30
231,1,2017,6,30
277,1,2017,7,30
323,1,2017,8,40
369,1,2017,9,40
415,1,2017,10,20
461,1,2017,11,20
507,1,2017,12,20
2,2,2017,1,60
48,2,2017,2,3
94,2,2017,3,42
140,2,2017,4,17
186,2,2017,5,45
232,2,2017,6,40
278,2,2017,7,72
324,2,2017,8,33
370,2,2017,9,66
416,2,2017,10,21
462,2,2017,11,48
508,2,2017,12,5
3,3,2017,1,3
49,3,2017,2,98
95,3,2017,3,3
141,3,2017,4,66
187,3,2017,5,99
233,3,2017,6,85
279,3,2017,7,40
325,3,2017,8,92
371,3,2017,9,58
417,3,2017,10,22
463,3,2017,11,64
509,3,2017,12,46
4,4,2017,1,91
50,4,2017,2,74
96,4,2017,3,12
142,4,2017,4,98
188,4,2017,5,76
234,4,2017,6,2
280,4,2017,7,45
326,4,2017,8,94
372,4,2017,9,5
418,4,2017,10,4
464,4,2017,11,3
510,4,2017,12,26
5,5,2017,1,86
51,5,2017,2,15
97,5,2017,3,32
143,5,2017,4,38
189,5,2017,5,24
235,5,2017,6,37
281,5,2017,7,83
327,5,2017,8,70
373,5,2017,9,21
419,5,2017,10,90
465,5,2017,11,50
511,5,2017,12,93
6,6,2017,1,32
52,6,2017,2,23
98,6,2017,3,34
144,6,2017,4,54
190,6,2017,5,27
236,6,2017,6,35
282,6,2017,7,73
328,6,2017,8,45
374,6,2017,9,10
420,6,2017,10,82
466,6,2017,11,2
512,6,2017,12,86
7,7,2017,1,81
53,7,2017,2,9
99,7,2017,3,26
145,7,2017,4,8
191,7,2017,5,85
237,7,2017,6,0
283,7,2017,7,24
329,7,2017,8,7
375,7,2017,9,6
421,7,2017,10,10
467,7,2017,11,54
513,7,2017,12,77
8,8,2017,1,24
54,8,2017,2,85
100,8,2017,3,90
146,8,2017,4,8
192,8,2017,5,47
238,8,2017,6,26
284,8,2017,7,52
330,8,2017,8,38
376,8,2017,9,93
422,8,2017,10,26
468,8,2017,11,97
514,8,2017,12,14
9,9,2017,1,85
55,9,2017,2,67
101,9,2017,3,78
147,9,2017,4,48
193,9,2017,5,99
239,9,2017,6,69
285,9,2017,7,35
331,9,2017,8,74
377,9,2017,9,36
423,9,2017,10,16
469,9,2017,11,92
515,9,2017,12,74
10,10,2017,1,57
56,10,2017,2,31
102,10,2017,3,51
148,10,2017,4,46
194,10,2017,5,55
240,10,2017,6,20
286,10,2017,7,18
332,10,2017,8,87
378,10,2017,9,14
424,10,2017,10,76
470,10,2017,11,75
516,10,2017,12,85
11,11,2017,1,17
57,11,2017,2,55
103,11,2017,3,15
149,11,2017,4,33
195,11,2017,5,43
241,11,2017,6,41
287,11,2017,7,6
333,11,2017,8,24
379,11,2017,9,24
425,11,2017,10,92
471,11,2017,11,66
517,11,2017,12,26
12,12,2017,1,69
58,12,2017,2,44
104,12,2017,3,26
150,12,2017,4,56
196,12,2017,5,17
242,12,2017,6,56
288,12,2017,7,18
334,12,2017,8,66
380,12,2017,9,27
426,12,2017,10,96
472,12,2017,11,86
518,12,2017,12,76
13,13,2017,1,44
59,13,2017,2,56
105,13,2017,3,80
151,13,2017,4,15
197,13,2017,5,14
243,13,2017,6,3
289,13,2017,7,3
335,13,2017,8,10
381,13,2017,9,72
427,13,2017,10,24
473,13,2017,11,51
519,13,2017,12,90
14,14,2017,1,27
60,14,2017,2,17
106,14,2017,3,92
152,14,2017,4,67
198,14,2017,5,81
244,14,2017,6,55
290,14,2017,7,70
336,14,2017,8,62
382,14,2017,9,45
428,14,2017,10,69
474,14,2017,11,40
520,14,2017,12,46
15,15,2017,1,70
61,15,2017,2,12
107,15,2017,3,71
153,15,2017,4,63
199,15,2017,5,17
245,15,2017,6,75
291,15,2017,7,20
337,15,2017,8,95
383,15,2017,9,50
429,15,2017,10,20
475,15,2017,11,11
521,15,2017,12,30
16,16,2017,1,38
62,16,2017,2,86
108,16,2017,3,22
154,16,2017,4,32
200,16,2017,5,56
246,16,2017,6,33
292,16,2017,7,63
338,16,2017,8,40
384,16,2017,9,42
430,16,2017,10,13
476,16,2017,11,51
522,16,2017,12,79
17,17,2017,1,52
63,17,2017,2,83
109,17,2017,3,63
155,17,2017,4,96
201,17,2017,5,94
247,17,2017,6,81
293,17,2017,7,84
339,17,2017,8,50
385,17,2017,9,33
431,17,2017,10,21
477,17,2017,11,50
523,17,2017,12,37
18,18,2017,1,62
64,18,2017,2,72
110,18,2017,3,75
156,18,2017,4,7
202,18,2017,5,13
248,18,2017,6,10
294,18,2017,7,79
340,18,2017,8,88
386,18,2017,9,69
432,18,2017,10,94
478,18,2017,11,24
524,18,2017,12,96
19,19,2017,1,25
65,19,2017,2,60
111,19,2017,3,20
157,19,2017,4,63
203,19,2017,5,13
249,19,2017,6,12
295,19,2017,7,19
341,19,2017,8,11
387,19,2017,9,60
433,19,2017,10,22
479,19,2017,11,69
525,19,2017,12,77
20,20,2017,1,55
66,20,2017,2,55
112,20,2017,3,32
158,20,2017,4,54
204,20,2017,5,53
250,20,2017,6,93
296,20,2017,7,37
342,20,2017,8,82
388,20,2017,9,49
434,20,2017,10,78
480,20,2017,11,92
526,20,2017,12,92
21,21,2017,1,55
67,21,2017,2,29
113,21,2017,3,5
159,21,2017,4,59
205,21,2017,5,33
251,21,2017,6,5
297,21,2017,7,35
343,21,2017,8,80
389,21,2017,9,8
435,21,2017,10,34
481,21,2017,11,54
527,21,2017,12,91
22,22,2017,1,5
68,22,2017,2,22
114,22,2017,3,19
160,22,2017,4,78
206,22,2017,5,34
252,22,2017,6,87
298,22,2017,7,51
344,22,2017,8,100
390,22,2017,9,83
436,22,2017,10,81
482,22,2017,11,39
528,22,2017,12,100
23,23,2017,1,54
69,23,2017,2,59
115,23,2017,3,22
161,23,2017,4,41
207,23,2017,5,83
253,23,2017,6,57
299,23,2017,7,41
345,23,2017,8,12
391,23,2017,9,66
437,23,2017,10,84
483,23,2017,11,77
529,23,2017,12,67
24,24,2017,1,74
70,24,2017,2,24
116,24,2017,3,65
162,24,2017,4,65
208,24,2017,5,21
254,24,2017,6,55
300,24,2017,7,17
346,24,2017,8,71
392,24,2017,9,90
438,24,2017,10,66
484,24,2017,11,5
530,24,2017,12,33
25,25,2017,1,49
71,25,2017,2,82
117,25,2017,3,27
163,25,2017,4,98
209,25,2017,5,73
255,25,2017,6,49
301,25,2017,7,89
347,25,2017,8,50
393,25,2017,9,52
439,25,2017,10,22
485,25,2017,11,14
531,25,2017,12,4
26,26,2017,1,88
72,26,2017,2,58
118,26,2017,3,48
164,26,2017,4,19
210,26,2017,5,97
256,26,2017,6,24
302,26,2017,7,52
348,26,2017,8,93
394,26,2017,9,13
440,26,2017,10,82
486,26,2017,11,72
532,26,2017,12,34
27,27,2017,1,53
73,27,2017,2,41
119,27,2017,3,3
165,27,2017,4,16
211,27,2017,5,27
257,27,2017,6,23
303,27,2017,7,18
349,27,2017,8,7
395,27,2017,9,39
441,27,2017,10,88
487,27,2017,11,32
533,27,2017,12,64
28,28,2017,1,90
74,28,2017,2,83
120,28,2017,3,91
166,28,2017,4,37
212,28,2017,5,40
258,28,2017,6,23
304,28,2017,7,96
350,28,2017,8,16
396,28,2017,9,12
442,28,2017,10,29
488,28,2017,11,5
534,28,2017,12,89
29,29,2017,1,15
75,29,2017,2,85
121,29,2017,3,95
167,29,2017,4,88
213,29,2017,5,43
259,29,2017,6,66
305,29,2017,7,90
351,29,2017,8,92
397,29,2017,9,65
443,29,2017,10,47
489,29,2017,11,93
535,29,2017,12,26
30,30,2017,1,28
76,30,2017,2,75
122,30,2017,3,17
168,30,2017,4,38
214,30,2017,5,6
260,30,2017,6,4
306,30,2017,7,39
352,30,2017,8,74
398,30,2017,9,90
444,30,2017,10,12
490,30,2017,11,95
536,30,2017,12,100
31,31,2017,1,59
77,31,2017,2,98
123,31,2017,3,30
169,31,2017,4,67
215,31,2017,5,18
261,31,2017,6,75
307,31,2017,7,30
353,31,2017,8,19
399,31,2017,9,51
445,31,2017,10,82
491,31,2017,11,38
537,31,2017,12,4
32,32,2017,1,59
78,32,2017,2,95
124,32,2017,3,5
170,32,2017,4,39
216,32,2017,5,17
262,32,2017,6,54
308,32,2017,7,91
354,32,2017,8,20
400,32,2017,9,2
446,32,2017,10,58
492,32,2017,11,5
538,32,2017,12,93
33,33,2017,1,30
79,33,2017,2,59
125,33,2017,3,0
171,33,2017,4,71
217,33,2017,5,34
263,33,2017,6,60
309,33,2017,7,51
355,33,2017,8,79
401,33,2017,9,2
447,33,2017,10,74
493,33,2017,11,89
539,33,2017,12,79
34,34,2017,1,55
80,34,2017,2,18
126,34,2017,3,34
172,34,2017,4,14
218,34,2017,5,66
264,34,2017,6,65
310,34,2017,7,52
356,34,2017,8,53
402,34,2017,9,10
448,34,2017,10,79
494,34,2017,11,97
540,34,2017,12,20
35,35,2017,1,13
81,35,2017,2,29
127,35,2017,3,37
173,35,2017,4,19
219,35,2017,5,1
265,35,2017,6,54
311,35,2017,7,42
357,35,2017,8,26
403,35,2017,9,42
449,35,2017,10,14
495,35,2017,11,9
541,35,2017,12,66
36,36,2017,1,91
82,36,2017,2,81
128,36,2017,3,75
174,36,2017,4,67
220,36,2017,5,4
266,36,2017,6,81
312,36,2017,7,41
358,36,2017,8,100
404,36,2017,9,30
450,36,2017,10,29
496,36,2017,11,68
542,36,2017,12,60
37,37,2017,1,83
83,37,2017,2,53
129,37,2017,3,64
175,37,2017,4,40
221,37,2017,5,73
267,37,2017,6,90
313,37,2017,7,3
359,37,2017,8,18
405,37,2017,9,2
451,37,2017,10,5
497,37,2017,11,11
543,37,2017,12,86
38,38,2017,1,20
84,38,2017,2,95
130,38,2017,3,83
176,38,2017,4,41
222,38,2017,5,25
268,38,2017,6,11
314,38,2017,7,77
360,38,2017,8,62
406,38,2017,9,92
452,38,2017,10,94
498,38,2017,11,59
544,38,2017,12,61
39,39,2017,1,44
85,39,2017,2,39
131,39,2017,3,2
177,39,2017,4,78
223,39,2017,5,95
269,39,2017,6,61
315,39,2017,7,61
361,39,2017,8,71
407,39,2017,9,19
453,39,2017,10,13
499,39,2017,11,27
545,39,2017,12,60
40,40,2017,1,43
86,40,2017,2,8
132,40,2017,3,8
178,40,2017,4,72
224,40,2017,5,73
270,40,2017,6,20
316,40,2017,7,46
362,40,2017,8,7
408,40,2017,9,12
454,40,2017,10,27
500,40,2017,11,40
546,40,2017,12,49
41,41,2017,1,74
87,41,2017,2,49
133,41,2017,3,92
179,41,2017,4,91
225,41,2017,5,60
271,41,2017,6,61
317,41,2017,7,10
363,41,2017,8,5
409,41,2017,9,96
455,41,2017,10,70
501,41,2017,11,94
547,41,2017,12,36
42,42,2017,1,72
88,42,2017,2,63
134,42,2017,3,26
180,42,2017,4,83
226,42,2017,5,75
272,42,2017,6,9
318,42,2017,7,53
364,42,2017,8,76
410,42,2017,9,9
456,42,2017,10,100
502,42,2017,11,23
548,42,2017,12,42
43,43,2017,1,22
89,43,2017,2,98
135,43,2017,3,78
181,43,2017,4,77
227,43,2017,5,97
273,43,2017,6,27
319,43,2017,7,81
365,43,2017,8,6
411,43,2017,9,48
457,43,2017,10,2
503,43,2017,11,4
549,43,2017,12,39
44,44,2017,1,31
90,44,2017,2,1
136,44,2017,3,75
182,44,2017,4,5
228,44,2017,5,24
274,44,2017,6,13
320,44,2017,7,8
366,44,2017,8,63
412,44,2017,9,96
458,44,2017,10,48
504,44,2017,11,56
550,44,2017,12,61
45,45,2017,1,8
91,45,2017,2,34
137,45,2017,3,92
183,45,2017,4,22
229,45,2017,5,85
275,45,2017,6,26
321,45,2017,7,55
367,45,2017,8,44
413,45,2017,9,44
459,45,2017,10,72
505,45,2017,11,52
551,45,2017,12,78
46,46,2017,1,27
92,46,2017,2,81
138,46,2017,3,64
184,46,2017,4,77
230,46,2017,5,69
276,46,2017,6,60
322,46,2017,7,62
368,46,2017,8,59
414,46,2017,9,8
460,46,2017,10,65
506,46,2017,11,55
552,46,2017,12,65
